"","observation_path","chamber_path","constituency_path","observation_number","chamber_number","chamber_name","constituency_number","constituency_name","country_name","province_name"
"892","/chamber-1/constituency-892","/chamber-1","/chamber-1/constituency-892","892",1,"House of Commons","892","North Down","Northern Ireland",NA
"893","/chamber-1/constituency-893","/chamber-1","/chamber-1/constituency-893","893",1,"House of Commons","893","North Durham","England",NA
"894","/chamber-1/constituency-894","/chamber-1","/chamber-1/constituency-894","894",1,"House of Commons","894","North East Bedfordshire","England",NA
"895","/chamber-1/constituency-895","/chamber-1","/chamber-1/constituency-895","895",1,"House of Commons","895","North East Cambridgeshire","England",NA
"896","/chamber-1/constituency-896","/chamber-1","/chamber-1/constituency-896","896",1,"House of Commons","896","North East Derbyshire","England",NA
"897","/chamber-1/constituency-897","/chamber-1","/chamber-1/constituency-897","897",1,"House of Commons","897","North East Fife","Scotland",NA
"898","/chamber-1/constituency-898","/chamber-1","/chamber-1/constituency-898","898",1,"House of Commons","898","North East Hampshire","England",NA
"899","/chamber-1/constituency-899","/chamber-1","/chamber-1/constituency-899","899",1,"House of Commons","899","North East Hertfordshire","England",NA
"900","/chamber-1/constituency-900","/chamber-1","/chamber-1/constituency-900","900",1,"House of Commons","900","North East Milton Keynes",NA,NA
"901","/chamber-1/constituency-901","/chamber-1","/chamber-1/constituency-901","901",1,"House of Commons","901","North East Somerset","England",NA
"902","/chamber-1/constituency-902","/chamber-1","/chamber-1/constituency-902","902",1,"House of Commons","902","North Essex",NA,NA
"903","/chamber-1/constituency-903","/chamber-1","/chamber-1/constituency-903","903",1,"House of Commons","903","North Fylde",NA,NA
"904","/chamber-1/constituency-904","/chamber-1","/chamber-1/constituency-904","904",1,"House of Commons","904","North Herefordshire","England",NA
"905","/chamber-1/constituency-905","/chamber-1","/chamber-1/constituency-905","905",1,"House of Commons","905","North Hertfordshire",NA,NA
"906","/chamber-1/constituency-906","/chamber-1","/chamber-1/constituency-906","906",1,"House of Commons","906","North Lanarkshire",NA,NA
"907","/chamber-1/constituency-907","/chamber-1","/chamber-1/constituency-907","907",1,"House of Commons","907","North Luton",NA,NA
"908","/chamber-1/constituency-908","/chamber-1","/chamber-1/constituency-908","908",1,"House of Commons","908","North Norfolk","England",NA
"909","/chamber-1/constituency-909","/chamber-1","/chamber-1/constituency-909","909",1,"House of Commons","909","North Shropshire","England",NA
"910","/chamber-1/constituency-910","/chamber-1","/chamber-1/constituency-910","910",1,"House of Commons","910","North Somerset","England",NA
"911","/chamber-1/constituency-911","/chamber-1","/chamber-1/constituency-911","911",1,"House of Commons","911","North Southwark and Bermondsey",NA,NA
"912","/chamber-1/constituency-912","/chamber-1","/chamber-1/constituency-912","912",1,"House of Commons","912","North Swindon","England",NA
"913","/chamber-1/constituency-913","/chamber-1","/chamber-1/constituency-913","913",1,"House of Commons","913","North Tayside",NA,NA
"914","/chamber-1/constituency-914","/chamber-1","/chamber-1/constituency-914","914",1,"House of Commons","914","North West Durham","England",NA
"915","/chamber-1/constituency-915","/chamber-1","/chamber-1/constituency-915","915",1,"House of Commons","915","North West Hampshire","England",NA
"916","/chamber-1/constituency-916","/chamber-1","/chamber-1/constituency-916","916",1,"House of Commons","916","North West Leicestershire","England",NA
"917","/chamber-1/constituency-917","/chamber-1","/chamber-1/constituency-917","917",1,"House of Commons","917","Argyll and Bute","Scotland",NA
"918","/chamber-1/constituency-918","/chamber-1","/chamber-1/constituency-918","918",1,"House of Commons","918","Banffshire",NA,NA
