"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/392374","Private","2014-02-04","canterburycitycouncil.html","http://services.parliament.uk/bills/canterburycitycouncil.html","Canterbury City Council","2010-2012","Canterbury City Council","Canterbury City Council"
"http://data.parliament.uk/resources/392374","Private","2014-02-04","canterburycitycouncil.html","http://services.parliament.uk/bills/canterburycitycouncil.html","Canterbury City Council","2012-2013","Canterbury City Council","Canterbury City Council"
"http://data.parliament.uk/resources/392377","Private","2014-02-04","nottinghamcitycouncil.html","http://services.parliament.uk/bills/nottinghamcitycouncil.html","Nottingham City Council","2007-2008","Nottingham City Council","Nottingham City Council"
"http://data.parliament.uk/resources/392377","Private","2014-02-04","nottinghamcitycouncil.html","http://services.parliament.uk/bills/nottinghamcitycouncil.html","Nottingham City Council","2008-2009","Nottingham City Council","Nottingham City Council"
"http://data.parliament.uk/resources/392377","Private","2014-02-04","nottinghamcitycouncil.html","http://services.parliament.uk/bills/nottinghamcitycouncil.html","Nottingham City Council","2009-2010","Nottingham City Council","Nottingham City Council"
"http://data.parliament.uk/resources/392377","Private","2014-02-04","nottinghamcitycouncil.html","http://services.parliament.uk/bills/nottinghamcitycouncil.html","Nottingham City Council","2010-2012","Nottingham City Council","Nottingham City Council"
"http://data.parliament.uk/resources/392377","Private","2014-02-04","nottinghamcitycouncil.html","http://services.parliament.uk/bills/nottinghamcitycouncil.html","Nottingham City Council","2012-2013","Nottingham City Council","Nottingham City Council"
"http://data.parliament.uk/resources/392378","Private","2014-02-04","readingboroughcouncil.html","http://services.parliament.uk/bills/readingboroughcouncil.html","Reading Borough Council","2007-2008","Reading Borough Council","Reading Borough Council"
"http://data.parliament.uk/resources/392378","Private","2014-02-04","readingboroughcouncil.html","http://services.parliament.uk/bills/readingboroughcouncil.html","Reading Borough Council","2008-2009","Reading Borough Council","Reading Borough Council"
"http://data.parliament.uk/resources/392378","Private","2014-02-04","readingboroughcouncil.html","http://services.parliament.uk/bills/readingboroughcouncil.html","Reading Borough Council","2009-2010","Reading Borough Council","Reading Borough Council"
"http://data.parliament.uk/resources/392378","Private","2014-02-04","readingboroughcouncil.html","http://services.parliament.uk/bills/readingboroughcouncil.html","Reading Borough Council","2010-2012","Reading Borough Council","Reading Borough Council"
"http://data.parliament.uk/resources/392378","Private","2014-02-04","readingboroughcouncil.html","http://services.parliament.uk/bills/readingboroughcouncil.html","Reading Borough Council","2012-2013","Reading Borough Council","Reading Borough Council"
