"uri","bill type","date","home page","home page > uri","identifier","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393679","Ballot","2016-04-22","representationofthepeopleyoungpersonsenfranchisementandeducation.html","http://services.parliament.uk/bills/2015-16/representationofthepeopleyoungpersonsenfranchisementandeducation.html","1646","Representation of the People (Young Persons’ Enfranchisement and Education)","2015-2016","Vicky Foxcroft","Representation of the People (Young Persons’ Enfranchisement and Education) Bill"
"http://data.parliament.uk/resources/434300","Ten Minute Rule","2016-04-22","scotlandact1998amendment.html","http://services.parliament.uk/bills/2015-16/scotlandact1998amendment.html","1723","Scotland Act 1998 (Amendment)","2015-2016","Angus Brendan MacNeil","Scotland Act 1998 (Amendment) Bill"
"http://data.parliament.uk/resources/436873","Ten Minute Rule","2016-04-22","asylumunaccompaniedchildrendisplacedbyconflict.html","http://services.parliament.uk/bills/2015-16/asylumunaccompaniedchildrendisplacedbyconflict.html","1726","Asylum (Unaccompanied Children Displaced by Conflict)","2015-2016","Tim Farron","Asylum (Unaccompanied Children Displaced by Conflict) Bill"
"http://data.parliament.uk/resources/437283","Ten Minute Rule","2016-04-22","armedforcescovenantimplementationunitedkingdom.html","http://services.parliament.uk/bills/2015-16/armedforcescovenantimplementationunitedkingdom.html","1727","Armed Forces Covenant (Implementation) (United Kingdom)","2015-2016","Sammy Wilson","Armed Forces Covenant (Implementation) (United Kingdom) Bill"
"http://data.parliament.uk/resources/443376","Ten Minute Rule","2016-04-22","nationalhealthserviceandsocialcarecommission.html","http://services.parliament.uk/bills/2015-16/nationalhealthserviceandsocialcarecommission.html","1732","National Health Service and Social Care (Commission)","2015-2016","Norman Lamb","National Health Service and Social Care (Commission) Bill"
"http://data.parliament.uk/resources/446525","Ten Minute Rule","2016-04-22","freedomofinformationpublicinterestandtransparency.html","http://services.parliament.uk/bills/2015-16/freedomofinformationpublicinterestandtransparency.html","1735","Freedom of Information (Public Interest and Transparency)","2015-2016","Tom Brake","Freedom of Information (Public Interest and Transparency) Bill"
"http://data.parliament.uk/resources/452751","Presentation","2016-04-22","blooddonorequality.html","http://services.parliament.uk/bills/2015-16/blooddonorequality.html","1742","Blood Donor (Equality)","2015-2016","Tim Farron","Blood Donor (Equality) Bill"
"http://data.parliament.uk/resources/452752","Ten Minute Rule","2016-04-22","ofstedinspectionsschoolsrightsofchallenge.html","http://services.parliament.uk/bills/2015-16/ofstedinspectionsschoolsrightsofchallenge.html","1743","Ofsted Inspections (Schools' Rights of Challenge)","2015-2016","John Pugh","Ofsted Inspections (Schools' Rights of Challenge) Bill"
"http://data.parliament.uk/resources/455487","Ten Minute Rule","2016-04-22","consumerprotectiondistancesellingdeliverycharges.html","http://services.parliament.uk/bills/2015-16/consumerprotectiondistancesellingdeliverycharges.html","1748","Consumer Protection (Distance Selling Delivery Charges)","2015-2016","Drew Hendry","Consumer Protection (Distance Selling Delivery Charges) Bill"
"http://data.parliament.uk/resources/459083","Ten Minute Rule","2016-04-22","drivinglicencemandatoryfirstaidtraining.html","http://services.parliament.uk/bills/2015-16/drivinglicencemandatoryfirstaidtraining.html","1753","Driving Licence (Mandatory First Aid Training)","2015-2016","Will Quince","Driving Licence (Mandatory First Aid Training) Bill"
